Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2025,2025-01-01,08001,Indústria,De 00:00:00 a 05:59:59 h,287
2025,2025-01-01,08001,Indústria,De 06:00:00 a 11:59:59 h,366
2025,2025-01-01,08001,Indústria,De 12:00:00 a 17:59:59 h,417
2025,2025-01-01,08001,Indústria,De 18:00:00 a 23:59:59 h,342
2025,2025-01-01,08001,Indústria,No consta,0
2025,2025-01-01,08001,Residencial,De 00:00:00 a 05:59:59 h,32270
2025,2025-01-01,08001,Residencial,De 06:00:00 a 11:59:59 h,38319
2025,2025-01-01,08001,Residencial,De 12:00:00 a 17:59:59 h,53880
2025,2025-01-01,08001,Residencial,De 18:00:00 a 23:59:59 h,54490
2025,2025-01-01,08001,Residencial,No consta,0
2025,2025-01-01,08001,Serveis,De 00:00:00 a 05:59:59 h,37487
2025,2025-01-01,08001,Serveis,De 06:00:00 a 11:59:59 h,45737
2025,2025-01-01,08001,Serveis,De 12:00:00 a 17:59:59 h,52070
2025,2025-01-01,08001,Serveis,De 18:00:00 a 23:59:59 h,49032
2025,2025-01-01,08001,Serveis,No consta,0
2025,2025-01-01,08002,Indústria,De 00:00:00 a 05:59:59 h,788
2025,2025-01-01,08002,Indústria,De 06:00:00 a 11:59:59 h,1024
2025,2025-01-01,08002,Indústria,De 12:00:00 a 17:59:59 h,1148
2025,2025-01-01,08002,Indústria,De 18:00:00 a 23:59:59 h,1034
2025,2025-01-01,08002,Indústria,No consta,0
2025,2025-01-01,08002,Residencial,De 00:00:00 a 05:59:59 h,20754
2025,2025-01-01,08002,Residencial,De 06:00:00 a 11:59:59 h,23581
2025,2025-01-01,08002,Residencial,De 12:00:00 a 17:59:59 h,30834
2025,2025-01-01,08002,Residencial,De 18:00:00 a 23:59:59 h,31407
2025,2025-01-01,08002,Residencial,No consta,0
2025,2025-01-01,08002,Serveis,De 00:00:00 a 05:59:59 h,41661
2025,2025-01-01,08002,Serveis,De 06:00:00 a 11:59:59 h,49928
2025,2025-01-01,08002,Serveis,De 12:00:00 a 17:59:59 h,60397
2025,2025-01-01,08002,Serveis,De 18:00:00 a 23:59:59 h,57715
2025,2025-01-01,08002,Serveis,No consta,0
2025,2025-01-01,08003,Indústria,De 00:00:00 a 05:59:59 h,517
2025,2025-01-01,08003,Indústria,De 06:00:00 a 11:59:59 h,584
2025,2025-01-01,08003,Indústria,De 12:00:00 a 17:59:59 h,636
2025,2025-01-01,08003,Indústria,De 18:00:00 a 23:59:59 h,548
2025,2025-01-01,08003,Indústria,No consta,0
2025,2025-01-01,08003,Residencial,De 00:00:00 a 05:59:59 h,35587
2025,2025-01-01,08003,Residencial,De 06:00:00 a 11:59:59 h,41708
2025,2025-01-01,08003,Residencial,De 12:00:00 a 17:59:59 h,56444
2025,2025-01-01,08003,Residencial,De 18:00:00 a 23:59:59 h,58833
2025,2025-01-01,08003,Residencial,No consta,0
2025,2025-01-01,08003,Serveis,De 00:00:00 a 05:59:59 h,59698
2025,2025-01-01,08003,Serveis,De 06:00:00 a 11:59:59 h,68875
2025,2025-01-01,08003,Serveis,De 12:00:00 a 17:59:59 h,81173
2025,2025-01-01,08003,Serveis,De 18:00:00 a 23:59:59 h,75727
2025,2025-01-01,08003,Serveis,No consta,0
2025,2025-01-01,08004,Indústria,De 00:00:00 a 05:59:59 h,51585
2025,2025-01-01,08004,Indústria,De 06:00:00 a 11:59:59 h,52354
2025,2025-01-01,08004,Indústria,De 12:00:00 a 17:59:59 h,51425
2025,2025-01-01,08004,Indústria,De 18:00:00 a 23:59:59 h,52010
2025,2025-01-01,08004,Indústria,No consta,0
2025,2025-01-01,08004,Residencial,De 00:00:00 a 05:59:59 h,31121
2025,2025-01-01,08004,Residencial,De 06:00:00 a 11:59:59 h,37313
2025,2025-01-01,08004,Residencial,De 12:00:00 a 17:59:59 h,53444
